Frequency (Hz)	Level (dB)
20887.207031	-134.016525
20930.273438	-135.211197
20973.339844	-135.848175
21016.406250	-137.805908
21059.472656	-139.457550
21102.539063	-141.901520
21145.605469	-143.912109
21188.671875	-145.524750
21231.738281	-147.186798
21274.804688	-149.968689
21317.871094	-153.299255
21360.937500	-156.009491
21404.003906	-158.775650
21447.070313	-163.562714
21490.136719	-167.376038
21533.203125	-171.556549
21576.269531	-175.881027
21619.335938	-180.347900
21662.402344	-186.511566
21705.468750	-192.330750
21748.535156	-181.950455
21791.601563	-177.397690
21834.667969	-185.283356
21877.734375	-197.084244
21920.800781	-198.799988
21963.867188	-194.765488
22006.933594	-198.308105
