Frequency (Hz)	Level (dB)
5727.832031	-99.579369
5770.898438	-95.386040
5813.964844	-77.561409
5857.031250	-66.584648
5900.097656	-68.071732
5943.164063	-84.069450
5986.230469	-98.645576
6029.296875	-101.557121
6072.363281	-100.118416
6115.429688	-87.823586
6158.496094	-70.359543
6201.562500	-67.936157
6244.628906	-77.759285
6287.695313	-95.167343
6330.761719	-99.411224
6373.828125	-97.151917
6416.894531	-91.572495
6459.960938	-76.498520
6503.027344	-68.088379
6546.093750	-71.474312
6589.160156	-90.527069
6632.226563	-99.150887
6675.292969	-94.559723
6718.359375	-94.480148
6761.425781	-96.106163
6804.492188	-80.370758
6847.558594	-77.532913
6890.625000	-87.046867
6933.691406	-98.488274
6976.757813	-99.771652
7019.824219	-98.832680
7062.890625	-100.586395
7105.957031	-98.747215
7149.023438	-92.806938
7192.089844	-93.766556
7235.156250	-102.747894
7278.222656	-106.750641
7321.289063	-99.334160
7364.355469	-95.467102
7407.421875	-102.120163
7450.488281	-102.438393
7493.554688	-91.962799
7536.621094	-81.155411
7579.687500	-81.759850
7622.753906	-94.293015
7665.820313	-103.299004
7708.886719	-101.116791
7751.953125	-102.305405
7795.019531	-98.731339
7838.085938	-87.588791
7881.152344	-88.572052
7924.218750	-102.051392
7967.285156	-113.477112
8010.351563	-115.363739
8053.417969	-110.981552
8096.484375	-97.854469
8139.550781	-93.951271
8182.617188	-91.258156
8225.683594	-92.723724
8268.750000	-106.479889
8311.816406	-113.458717
8354.882813	-113.400864
8397.949219	-114.701454
8441.015625	-112.599655
8484.082031	-105.406532
8527.148438	-89.289291
8570.214844	-87.084450
8613.281250	-96.837692
8656.347656	-111.726906
8699.414063	-116.935837
8742.480469	-117.082771
8785.546875	-115.969078
8828.613281	-112.039810
8871.679688	-97.087761
8914.746094	-92.357147
8957.812500	-98.760109
9000.878906	-114.773857
9043.945313	-116.939148
9087.011719	-116.791069
9130.078125	-116.532120
9173.144531	-114.869019
9216.210938	-110.744972
9259.277344	-100.710609
9302.343750	-99.544586
9345.410156	-107.332451
9388.476563	-115.894554
9431.542969	-115.629051
9474.609375	-115.566940
9517.675781	-112.064438
9560.742188	-110.180389
9603.808594	-106.713043
9646.875000	-98.952400
9689.941406	-99.795280
9733.007813	-109.107895
9776.074219	-114.931038
9819.140625	-115.179153
9862.207031	-116.610039
9905.273438	-115.975594
9948.339844	-114.969696
9991.406250	-107.567711
10034.472656	-102.751160
10077.539063	-106.125336
10120.605469	-113.505280
10163.671875	-115.344482
10206.738281	-114.139656
10249.804688	-115.369499
10292.871094	-116.790596
10335.937500	-115.731155
10379.003906	-111.404434
10422.070313	-107.468422
10465.136719	-109.647049
10508.203125	-116.010681
10551.269531	-115.856499
10594.335938	-113.367912
10637.402344	-114.550293
10680.468750	-115.122856
10723.535156	-115.005234
10766.601563	-105.536171
10809.667969	-98.455681
10852.734375	-101.319427
10895.800781	-113.992012
10938.867188	-115.428970
10981.933594	-116.717102
11025.000000	-116.101295
11068.066406	-116.673431
11111.132813	-114.921471
11154.199219	-114.335060
11197.265625	-109.789711
11240.332031	-108.267403
11283.398438	-113.610031
11326.464844	-114.819565
11369.531250	-115.998703
11412.597656	-108.518700
11455.664063	-106.650780
11498.730469	-112.087608
11541.796875	-112.702492
11584.863281	-112.799797
11627.929688	-111.046974
11670.996094	-111.454971
11714.062500	-115.293137
11757.128906	-115.758621
11800.195313	-116.737717
11843.261719	-116.278610
11886.328125	-116.315849
11929.394531	-113.417366
11972.460938	-112.861702
12015.527344	-109.697105
12058.593750	-109.346489
12101.660156	-113.371803
12144.726563	-115.916702
12187.792969	-115.993149
12230.859375	-116.177948
12273.925781	-115.109871
12316.992188	-114.853485
12360.058594	-113.919548
12403.125000	-115.666748
12446.191406	-114.487740
12489.257813	-113.742882
12532.324219	-116.511162
12575.390625	-118.492409
12618.457031	-115.841339
12661.523438	-115.720070
12704.589844	-117.278786
12747.656250	-116.985649
12790.722656	-116.999916
12833.789063	-113.679825
12876.855469	-110.398102
12919.921875	-112.976952
12962.988281	-116.840256
13006.054688	-117.343849
13049.121094	-117.950752
13092.187500	-117.247765
13135.253906	-115.827469
13178.320313	-116.205002
13221.386719	-116.673615
13264.453125	-113.742165
13307.519531	-110.980774
13350.585938	-113.125687
13393.652344	-113.780067
13436.718750	-114.371437
13479.785156	-116.163193
13522.851563	-117.023705
13565.917969	-116.432892
13608.984375	-118.548988
13652.050781	-117.509705
13695.117188	-116.713577
13738.183594	-115.535759
13781.250000	-115.105309
13824.316406	-115.104996
13867.382813	-116.600723
13910.449219	-116.961700
13953.515625	-116.378159
13996.582031	-115.348907
14039.648438	-117.593071
14082.714844	-116.690582
